DATA_INICIO;DATA_FIM;CATEGORIA;LOCAL_INICIO;LOCAL_FIM;DISTANCIA;PROPOSITO
02-07-2016 18:03;02-07-2016 18:17;Negocio;Apex;Cary;57;Visita ao cliente
02-07-2016 18:39;02-07-2016 18:53;Negocio;Cary;Morrisville;61;Parada temporária
02-07-2016 20:22;02-07-2016 20:40;Negocio;Morrisville;Cary;61;Reunião
02-08-2016 12:57;02-08-2016 13:08;Negocio;Whitebridge;Edgehill Farms;43;Alimentação
02-08-2016 14:00;02-08-2016 14:10;Negocio;Edgehill Farms;Whitebridge;27;Alimentação
02-09-2016 10:54;02-09-2016 11:07;Pessoal;Whitebridge;Northwoods;53;
02-09-2016 11:43;02-09-2016 11:50;Pessoal;Northwoods;Tanglewood;3;
02-09-2016 13:36;02-09-2016 13:52;Pessoal;Tanglewood;Preston;51;
02-09-2016 13:58;02-09-2016 14:02;Pessoal;Preston;Whitebridge;15;
02-09-2016 18:55;02-09-2016 19:11;Negocio;Cary;Morrisville;61;
02-09-2016 20:24;02-09-2016 20:40;Negocio;Morrisville;Cary;61;Alimentação
02-11-2016 16:28;02-11-2016 17:10;Negocio;Cary;Raleigh;173;Alimentação
02-11-2016 17:49;02-11-2016 18:10;Negocio;Eastgate;Walnut Terrace;57;Alimentação
02-11-2016 18:24;02-11-2016 18:46;Negocio;Raleigh;Morrisville;135;Parada temporária
02-11-2016 20:36;02-11-2016 20:51;Negocio;Morrisville;Cary;61;Parada temporária
02-12-2016 08:21;02-12-2016 08:42;Negocio;Cary;Durham;85;Parada temporária
02-12-2016 10:45;02-12-2016 10:52;Negocio;Durham;Morrisville;26;Parada temporária
02-12-2016 11:14;02-12-2016 11:35;Negocio;Morrisville;Raleigh;17;Visita ao cliente
02-12-2016 13:02;02-12-2016 13:36;Negocio;Raleigh;Cary;18;Reunião
02-12-2016 14:49;02-12-2016 15:06;Negocio;Cary;Morrisville;84;Reunião
02-12-2016 15:33;02-12-2016 16:06;Negocio;Morrisville;Cary;115;Visita ao cliente
02-13-2016 14:21;02-13-2016 14:41;Negocio;Cary;Morrisville;89;Reunião
02-13-2016 23:45;02-13-2016 0:01;Pessoal;East Elmhurst;Jackson Heights;27;
02-13-2016 0:50;02-13-2016 1:00;Pessoal;Jackson Heights;East Elmhurst;18;
02-13-2016 14:07;02-13-2016 14:40;Negocio;East Elmhurst;New York;81;Reunião
02-13-2016 14:46;02-13-2016 15:03;Negocio;Midtown;Midtown West;2;Reunião
02-13-2016 16:35;02-13-2016 17:02;Negocio;New York;Long Island City;13;Reunião
02-13-2016 17:06;02-13-2016 17:29;Negocio;Long Island City;Jamaica;139;Reunião
02-16-2016 3:21;02-16-2016 4:13;Negocio;Katunayaka;Unknown Location;437;Visita ao cliente
02-16-2016 8:29;02-16-2016 9:34;Negocio;Unknown Location;Colombo;141;
02-16-2016 10:31;02-16-2016 10:41;Negocio;Colombo;Colombo;26;
02-16-2016 11:32;02-16-2016 12:02;Negocio;Colombo;Colombo;45;
02-16-2016 12:39;02-16-2016 12:42;Negocio;Colombo;Colombo;17;
02-16-2016 13:43;02-16-2016 13:55;Negocio;Colombo;Colombo;18;Parada temporária
02-16-2016 16:34;02-16-2016 17:10;Negocio;Colombo;Colombo;6;
02-16-2016 17:17;02-16-2016 17:26;Negocio;Colombo;Nugegoda;11;Alimentação
02-16-2016 17:40;02-16-2016 17:44;Negocio;Nugegoda;Unknown Location;36;Entregas
02-17-2016 13:18;02-17-2016 14:04;Negocio;Unknown Location;Colombo;147;Parada temporária
02-17-2016 15:17;02-17-2016 15:22;Negocio;Colombo;Colombo;17;Alimentação
02-17-2016 15:33;02-17-2016 16:17;Negocio;Colombo;Katunayaka;214;Parada temporária
02-17-2016 16:38;02-17-2016 16:43;Negocio;Katunayaka;Katunayaka;5;Entregas
02-18-2016 8:19;02-18-2016 8:27;Negocio;Unknown Location;Unknown Location;235;Parada temporária
02-18-2016 14:03;02-18-2016 14:45;Negocio;Unknown Location;Islamabad;127;Parada temporária
02-18-2016 15:16;02-18-2016 15:31;Negocio;Islamabad;Unknown Location;6;Parada temporária
02-18-2016 18:44;02-18-2016 18:58;Negocio;Unknown Location;Islamabad;52;Visita ao cliente
02-18-2016 19:27;02-18-2016 20:08;Negocio;Islamabad;Unknown Location;10;Reunião
02-19-2016 9:02;02-19-2016 9:14;Negocio;Unknown Location;Unknown Location;183;Reunião
02-19-2016 9:21;02-19-2016 9:51;Negocio;Unknown Location;Unknown Location;112;Reunião
02-19-2016 10:21;02-19-2016 10:48;Negocio;Unknown Location;Islamabad;76;Reunião
02-19-2016 11:20;02-19-2016 11:26;Pessoal;Islamabad;Islamabad;15;
02-19-2016 11:45;02-19-2016 11:50;Pessoal;Islamabad;Islamabad;1;
02-19-2016 12:09;02-19-2016 12:27;Negocio;Islamabad;Unknown Location;73;Parada temporária
02-19-2016 16:26;02-19-2016 16:45;Negocio;Unknown Location;Islamabad;35;
02-19-2016 17:09;02-19-2016 17:20;Negocio;Islamabad;Islamabad;42;
02-19-2016 20:08;02-19-2016 20:30;Pessoal;Islamabad;Unknown Location;136;
02-19-2016 20:34;02-19-2016 20:51;Pessoal;Unknown Location;Unknown Location;25;
02-20-2016 7:59;02-20-2016 8:32;Pessoal;Unknown Location;Islamabad;144;
02-20-2016 10:48;02-20-2016 10:56;Pessoal;Islamabad;Islamabad;3;
02-20-2016 11:45;02-20-2016 11:53;Pessoal;Islamabad;Islamabad;15;
02-20-2016 12:41;02-20-2016 13:17;Negocio;Islamabad;R?walpindi;184;
02-20-2016 14:50;02-20-2016 15:54;Negocio;R?walpindi;R?walpindi;231;Reunião
02-20-2016 16:59;02-20-2016 17:54;Pessoal;R?walpindi;Unknown Location;165;
02-20-2016 18:00;02-20-2016 18:03;Negocio;Unknown Location;Unknown Location;32;Entregas
02-20-2016 19:28;02-20-2016 19:49;Negocio;Unknown Location;Unknown Location;77;Entregas
02-21-2016 9:07;02-21-2016 9:46;Negocio;Unknown Location;Islamabad;145;
02-21-2016 11:39;02-21-2016 11:43;Negocio;Unknown Location;Islamabad;24;Entregas
02-21-2016 11:47;02-21-2016 12:01;Negocio;Islamabad;Islamabad;46;Entregas
02-21-2016 12:13;02-21-2016 12:35;Negocio;Islamabad;Unknown Location;88;Alimentação
02-21-2016 12:51;02-21-2016 13:12;Negocio;Unknown Location;Unknown Location;83;Parada temporária
02-21-2016 13:33;02-21-2016 14:30;Negocio;Unknown Location;Unknown Location;227;Parada temporária
02-21-2016 14:36;02-21-2016 15:03;Negocio;Unknown Location;Islamabad;13;Parada temporária
02-21-2016 15:14;02-21-2016 15:31;Negocio;Islamabad;Noorpur Shahan;81;Parada temporária
02-21-2016 15:36;02-21-2016 15:41;Negocio;Noorpur Shahan;Unknown Location;22;Alimentação
02-21-2016 16:04;02-21-2016 16:32;Negocio;Unknown Location;Unknown Location;97;
02-21-2016 23:15;02-21-2016 23:52;Negocio;Unknown Location;R?walpindi;20;Reunião
02-22-2016 21:54;02-22-2016 22:09;Negocio;Morrisville;Cary;81;Visita ao cliente
02-24-2016 14:30;02-24-2016 14:35;Negocio;Whitebridge;Preston;15;
02-24-2016 15:19;02-24-2016 15:25;Negocio;Preston;Whitebridge;17;Entregas
02-25-2016 16:27;02-25-2016 16:35;Negocio;Whitebridge;Heritage Pines;31;Entregas
02-25-2016 16:47;02-25-2016 17:02;Negocio;Heritage Pines;Whitebridge;32;Entregas
02-25-2016 17:16;02-25-2016 17:36;Negocio;Whitebridge;Tanglewood;6;Alimentação
02-25-2016 18:22;02-25-2016 18:39;Negocio;Tanglewood;Whitebridge;58;Alimentação
02-26-2016 9:06;02-26-2016 9:29;Negocio;Whitebridge;Westpark Place;63;
02-26-2016 11:05;02-26-2016 11:11;Pessoal;Westpark Place;Whitebridge;17;
02-26-2016 11:35;02-26-2016 11:59;Negocio;Cary;Durham;106;Reunião
02-26-2016 13:01;02-26-2016 13:24;Negocio;Durham;Cary;99;Reunião
02-26-2016 14:38;02-26-2016 14:46;Pessoal;Whitebridge;Westpark Place;19;
02-26-2016 15:00;02-26-2016 15:18;Pessoal;Westpark Place;Hazelwood;42;
02-26-2016 17:01;02-26-2016 17:12;Pessoal;Hazelwood;Whitebridge;2;
02-28-2016 5:22;02-28-2016 5:38;Negocio;Whitebridge;Waverly Place;77;Reunião
02-28-2016 9:26;02-28-2016 9:42;Negocio;Waverly Place;Whitebridge;68;Reunião
02-29-2016 11:07;02-29-2016 11:14;Pessoal;Whitebridge;Westpark Place;21;
02-29-2016 11:30;02-29-2016 11:40;Negocio;Cary;Apex;38;Reunião
02-29-2016 12:36;02-29-2016 12:48;Negocio;Apex;Cary;56;Reunião
02-29-2016 14:55;02-29-2016 15:03;Negocio;Whitebridge;Hazelwood;26;
02-29-2016 16:40;02-29-2016 17:00;Negocio;Hazelwood;Whitebridge;66;Visita ao cliente
03-01-2016 18:47;03-01-2016 19:10;Negocio;Whitebridge;Wayne Ridge;8;Alimentação
03-01-2016 21:27;03-01-2016 21:45;Negocio;Wayne Ridge;Whitebridge;8;Reunião
03-03-2016 09:45;03-03-2016 09:52;Pessoal;Whitebridge;Westpark Place;22;
03-03-2016 11:04;03-03-2016 11:10;Negocio;Westpark Place;Whitebridge;23;Entregas
03-03-2016 14:44;03-03-2016 14:58;Negocio;Whitebridge;Northwoods;52;Alimentação
03-03-2016 15:27;03-03-2016 15:48;Negocio;Cary;Raleigh;76;Visita ao cliente
03-03-2016 16:02;03-03-2016 16:42;Negocio;Raleigh;Cary;173;Reunião
03-04-2016 07:47;03-04-2016 08:06;Negocio;Cary;Durham;99;Reunião
03-04-2016 09:46;03-04-2016 10:03;Negocio;Durham;Cary;99;Visita ao cliente
03-04-2016 11:46;03-04-2016 12:06;Negocio;Cary;Durham;104;Reunião
03-04-2016 13:03;03-04-2016 13:25;Negocio;Durham;Cary;109;Reunião
03-04-2016 13:40;03-04-2016 14:09;Negocio;Cary;Raleigh;157;Visita ao cliente
03-04-2016 15:56;03-04-2016 16:08;Negocio;Raleigh;Raleigh;49;Alimentação
03-04-2016 16:16;03-04-2016 16:22;Negocio;Fayetteville Street;Depot Historic District;8;Entregas
03-04-2016 16:43;03-04-2016 17:12;Negocio;Raleigh;Cary;135;Reunião
03-04-2016 19:02;03-04-2016 19:08;Negocio;Cary;Morrisville;19;Parada temporária
03-04-2016 19:16;03-04-2016 19:25;Negocio;Morrisville;Cary;2;Alimentação
03-05-2016 11:44;03-05-2016 11:59;Negocio;Cary;Morrisville;65;Alimentação
03-05-2016 12:57;03-05-2016 13:12;Pessoal;Weston;Weston;42;
03-05-2016 14:08;03-05-2016 14:18;Pessoal;Morrisville;Cary;35;
03-05-2016 14:39;03-05-2016 15:01;Negocio;Whitebridge;Wayne Ridge;78;Alimentação
03-05-2016 16:52;03-05-2016 17:13;Negocio;Cary;Morrisville;78;Alimentação
03-05-2016 17:23;03-05-2016 17:34;Negocio;Morrisville;Cary;39;Alimentação
03-07-2016 09:10;03-07-2016 09:20;Negocio;Whitebridge;Edgehill Farms;28;Entregas
03-07-2016 09:23;03-07-2016 09:47;Negocio;Cary;Raleigh;124;Visita ao cliente
03-07-2016 12:10;03-07-2016 12:26;Negocio;Fayetteville Street;Meredith Townes;59;Visita ao cliente
03-07-2016 13:57;03-07-2016 14:18;Negocio;Meredith Townes;Leesville Hollow;94;Reunião
03-07-2016 15:19;03-07-2016 15:45;Negocio;Raleigh;Cary;119;Entre escritórios
03-08-2016 14:38;03-08-2016 14:55;Negocio;Whitebridge;Waverly Place;72;Entre escritórios
03-08-2016 15:35;03-08-2016 16:00;Negocio;Waverly Place;Whitebridge;76;Alimentação
03-08-2016 16:13;03-08-2016 16:25;Pessoal;Whitebridge;Whitebridge;16;
03-10-2016 03:36;03-10-2016 03:53;Negocio;Cary;Morrisville;84;Reunião
03-10-2016 10:08;03-10-2016 10:37;Negocio;East Austin;West University;128;Reunião
03-10-2016 14:39;03-10-2016 14:55;Negocio;West University;South Congress;23;
03-10-2016 16:18;03-10-2016 16:28;Negocio;South Congress;Arts District;16;
03-11-2016 09:47;03-11-2016 09:59;Negocio;The Drag;Congress Ave District;2;Alimentação
03-11-2016 10:29;03-11-2016 10:36;Negocio;Congress Ave District;Downtown;8;
03-11-2016 11:57;03-11-2016 12:04;Negocio;Downtown;Red River District;12;
03-11-2016 13:43;03-11-2016 13:51;Negocio;Red River District;Downtown;1;
03-11-2016 19:21;03-11-2016 19:35;Negocio;South Congress;The Drag;21;
03-12-2016 09:13;03-12-2016 09:22;Negocio;The Drag;South Congress;22;
03-12-2016 18:27;03-12-2016 18:37;Pessoal;South Congress;The Drag;19;
03-13-2016 9:07;03-13-2016 9:37;Negocio;The Drag;Convention Center District;57;Alimentação
03-13-2016 18:23;03-13-2016 18:43;Negocio;South Congress;North Austin;84;Alimentação
03-13-2016 20:07;03-13-2016 20:28;Negocio;Georgian Acres;The Drag;62;Alimentação
03-13-2016 20:39;03-13-2016 20:58;Negocio;The Drag;North Austin;105;Alimentação
03-13-2016 21:11;03-13-2016 21:23;Negocio;North Austin;Coxville;72;Alimentação
03-13-2016 22:19;03-13-2016 22:39;Negocio;Coxville;The Drag;125;
03-14-2016 8:34;03-14-2016 8:49;Negocio;The Drag;South Congress;2;Entregas
03-14-2016 18:39;03-14-2016 18:55;Negocio;South Congress;The Drag;27;
03-15-2016 8:45;03-15-2016 8:57;Negocio;The Drag;Convention Center District;2;Alimentação
03-15-2016 20:48;03-15-2016 21:01;Negocio;Downtown;The Drag;28;Alimentação
03-16-2016 11:34;03-16-2016 11:45;Negocio;The Drag;Congress Ave District;17;Alimentação
03-16-2016 14:44;03-16-2016 14:55;Negocio;Convention Center District;West University;2;
03-16-2016 18:43;03-16-2016 18:56;Negocio;West University;Congress Ave District;21;Alimentação
03-17-2016 0:33;03-17-2016 0:44;Pessoal;Downtown;The Drag;17;
03-17-2016 12:52;03-17-2016 15:11;Negocio;Austin;Katy;136;Visita ao cliente
03-17-2016 15:16;03-17-2016 15:58;Negocio;Katy;Houston;302;Reunião
03-17-2016 17:20;03-17-2016 18:02;Negocio;Midtown;Alief;155;Alimentação
03-17-2016 18:47;03-17-2016 19:09;Pessoal;Houston;Houston;49;
03-17-2016 20:57;03-17-2016 21:28;Pessoal;Houston;Houston;126;
03-17-2016 21:48;03-17-2016 22:04;Pessoal;Sharpstown;Midtown;104;
03-18-2016 7:15;03-18-2016 7:21;Negocio;Midtown;Midtown;11;Alimentação
03-18-2016 8:35;03-18-2016 8:43;Negocio;Midtown;Midtown;11;Alimentação
03-18-2016 18:24;03-18-2016 19:08;Negocio;Midtown;Sharpstown;132;Reunião
03-18-2016 19:23;03-18-2016 19:29;Negocio;Sharpstown;Sharpstown;1;Entregas
03-18-2016 21:01;03-18-2016 21:15;Negocio;Sharpstown;Midtown;92;Visita ao cliente
03-19-2016 9:10;03-19-2016 9:25;Negocio;Midtown;Sharpstown;94;Alimentação
03-19-2016 12:50;03-19-2016 13:13;Negocio;Houston;Sugar Land;12;Visita ao cliente
03-19-2016 14:01;03-19-2016 14:57;Negocio;Sugar Land;Houston;351;Visita ao cliente
03-19-2016 15:34;03-19-2016 16:38;Negocio;Houston;Galveston;365;Alimentação
03-19-2016 17:17;03-19-2016 17:32;Negocio;Galveston;Port Bolivar;31;Alimentação
03-19-2016 17:37;03-19-2016 17:47;Negocio;Port Bolivar;Port Bolivar;21;Entregas
03-19-2016 17:52;03-19-2016 18:00;Negocio;Port Bolivar;Port Bolivar;12;
03-19-2016 18:53;03-19-2016 19:29;Negocio;Port Bolivar;Galveston;75;Reunião
03-19-2016 19:33;03-19-2016 20:39;Negocio;Galveston;Houston;57;Visita ao cliente
03-20-2016 7:37;03-20-2016 7:48;Negocio;Midtown;Washington Avenue;59;Reunião
03-20-2016 11:42;03-20-2016 11:56;Negocio;Washington Avenue;Midtown;62;Reunião
03-20-2016 17:08;03-20-2016 17:34;Negocio;Midtown;Sharpstown;104;
03-20-2016 18:34;03-20-2016 18:40;Pessoal;Sharpstown;Briar Meadow;12;
03-20-2016 18:45;03-20-2016 19:06;Negocio;Briar Meadow;Midtown;96;Visita ao cliente
03-21-2016 10:21;03-21-2016 10:26;Pessoal;Midtown;Downtown;1;
03-21-2016 16:05;03-21-2016 16:13;Negocio;Downtown;Midtown;9;Alimentação
03-21-2016 18:59;03-21-2016 19:15;Negocio;Midtown;Sharpstown;88;
03-21-2016 20:18;03-21-2016 20:55;Negocio;Sharpstown;Midtown;256;Alimentação
03-22-2016 6:17;03-22-2016 6:43;Negocio;Midtown;Greater Greenspoint;23;Alimentação
03-22-2016 12:06;03-22-2016 12:24;Pessoal;Morrisville;Cary;81;
03-22-2016 19:12;03-22-2016 19:25;Pessoal;Whitebridge;Whitebridge;14;
03-23-2016 14:37;03-23-2016 14:42;Pessoal;Whitebridge;Preston;17;
03-23-2016 14:53;03-23-2016 14:59;Pessoal;Preston;Whitebridge;16;
03-24-2016 19:47;03-24-2016 19:54;Pessoal;Whitebridge;Westpark Place;2;
03-24-2016 20:34;03-24-2016 20:40;Negocio;Westpark Place;Whitebridge;22;
03-25-2016 13:24;03-25-2016 16:22;Negocio;Cary;Latta;144;Visita ao cliente
03-25-2016 16:52;03-25-2016 22:22;Negocio;Latta;Jacksonville;3103;Visita ao cliente
03-25-2016 22:54;03-26-2016 1:39;Negocio;Jacksonville;Kissimmee;201;Reunião
03-26-2016 14:05;03-26-2016 14:29;Pessoal;Couples Glen;Isles of Buena Vista;67;
03-26-2016 15:19;03-26-2016 15:49;Pessoal;Kissimmee;Orlando;88;
03-26-2016 16:26;03-26-2016 16:30;Pessoal;Lake Reams;Lake Reams;12;
03-27-2016 0:31;03-27-2016 0:40;Negocio;Lake Reams;Lake Reams;21;Entregas
03-27-2016 1:11;03-27-2016 1:23;Negocio;Orlando;Kissimmee;66;Alimentação
03-27-2016 15:31;03-27-2016 15:56;Negocio;Kissimmee;Orlando;61;Visita ao cliente
03-27-2016 21:26;03-27-2016 21:41;Pessoal;Orlando;Orlando;69;
03-27-2016 23:04;03-27-2016 23:18;Pessoal;Orlando;Kissimmee;73;
03-28-2016 12:29;03-28-2016 12:42;Pessoal;Kissimmee;Orlando;36;
03-28-2016 19:30;03-28-2016 20:23;Pessoal;Couples Glen;Vista East;272;
03-28-2016 22:55;03-28-2016 23:26;Pessoal;Orlando;Kissimmee;257;
03-29-2016 15:27;03-29-2016 16:11;Pessoal;Kissimmee;Orlando;136;
03-29-2016 18:20;03-29-2016 18:39;Pessoal;Sand Lake Commons;Sky Lake;62;
03-29-2016 20:29;03-29-2016 20:44;Pessoal;Sky Lake;Sand Lake Commons;6;
03-29-2016 23:04;03-29-2016 23:21;Pessoal;Orlando;Kissimmee;138;
03-30-2016 22:05;03-30-2016 22:55;Negocio;Orlando;Kissimmee;288;Alimentação
03-31-2016 12:47;03-31-2016 13:22;Negocio;Kissimmee;Orlando;161;Parada temporária
03-31-2016 14:37;03-31-2016 15:09;Negocio;Orlando;Kissimmee;164;Alimentação
04-01-2016 13:43;04-01-2016 14:01;Negocio;Kissimmee;Kissimmee;11;Reunião
04-01-2016 14:36;04-01-2016 15:24;Negocio;Kissimmee;Orlando;155;Visita ao cliente
04-01-2016 16:01;04-01-2016 16:49;Negocio;Orlando;Kissimmee;203;Reunião
04-01-2016 16:52;04-01-2016 16:57;Pessoal;Kissimmee;Kissimmee;7;
04-02-2016 08:48;04-02-2016 09:04;Pessoal;Kissimmee;Kissimmee;55;
04-02-2016 11:01;04-02-2016 11:16;Pessoal;Kissimmee;Kissimmee;51;
04-02-2016 12:21;04-02-2016 14:47;Negocio;Kissimmee;Daytona Beach;773;Visita ao cliente
04-02-2016 16:57;04-02-2016 18:09;Negocio;Daytona Beach;Jacksonville;805;Visita ao cliente
04-02-2016 19:38;04-02-2016 22:36;Negocio;Jacksonville;Ridgeland;1742;Visita ao cliente
04-02-2016 23:11;04-03-2016 01:34;Negocio;Ridgeland;Florence;144;Reunião
04-03-2016 02:00;04-03-2016 04:16;Negocio;Florence;Cary;1593;Reunião
04-05-2016 21:39;04-05-2016 21:55;Negocio;Whitebridge;Wayne Ridge;79;Alimentação
04-06-2016 00:19;04-06-2016 00:39;Negocio;Wayne Ridge;Whitebridge;8;Alimentação
04-07-2016 18:20;04-07-2016 18:39;Negocio;Cary;Morrisville;61;Alimentação
04-07-2016 19:45;04-07-2016 20:00;Negocio;Morrisville;Cary;61;Entregas
04-08-2016 12:30;04-08-2016 12:48;Negocio;Cary;Durham;105;Reunião
